(-86.45, -41.71, -9.70),5
(99.17, 53.19, -9.70),2
(0.58, -44.59, -9.97),4
(0.73, 54.19, -10.00),1
(89.72, -43.64, -10.00),3
(-104.80, 49.68, -10.00),0
